,TID,ALDER,CIVILSTAND,INDHOLD
136,2022K3,68 år,Ugift,7664
137,2022K3,68 år,Gift/separeret,39719
138,2022K3,69 år,Ugift,6960
139,2022K3,69 år,Gift/separeret,40187
140,2022K3,70 år,Ugift,6184
141,2022K3,70 år,Gift/separeret,37724
142,2022K3,71 år,Ugift,5466
143,2022K3,71 år,Gift/separeret,37908
144,2022K3,72 år,Ugift,5017
145,2022K3,72 år,Gift/separeret,37980
146,2022K3,73 år,Ugift,4496
147,2022K3,73 år,Gift/separeret,37826
148,2022K3,74 år,Ugift,4144
149,2022K3,74 år,Gift/separeret,38536
150,2022K3,75 år,Ugift,3866
151,2022K3,75 år,Gift/separeret,39864
152,2022K3,76 år,Ugift,3482
153,2022K3,76 år,Gift/separeret,38302
154,2022K3,77 år,Ugift,2914
155,2022K3,77 år,Gift/separeret,34268
156,2022K3,78 år,Ugift,2486
157,2022K3,78 år,Gift/separeret,29873
158,2022K3,79 år,Ugift,2032
159,2022K3,79 år,Gift/separeret,25897
160,2022K3,80 år,Ugift,1662
161,2022K3,80 år,Gift/separeret,21809
162,2022K3,81 år,Ugift,1472
163,2022K3,81 år,Gift/separeret,17977
164,2022K3,82 år,Ugift,1269
165,2022K3,82 år,Gift/separeret,16075
166,2022K3,83 år,Ugift,1168
167,2022K3,83 år,Gift/separeret,13650
168,2022K3,84 år,Ugift,990
169,2022K3,84 år,Gift/separeret,11616
170,2022K3,85 år,Ugift,894
171,2022K3,85 år,Gift/separeret,9634
172,2022K3,86 år,Ugift,729
173,2022K3,86 år,Gift/separeret,7436
174,2022K3,87 år,Ugift,608
175,2022K3,87 år,Gift/separeret,5747
176,2022K3,88 år,Ugift,506
177,2022K3,88 år,Gift/separeret,4428
178,2022K3,89 år,Ugift,466
179,2022K3,89 år,Gift/separeret,3252
180,2022K3,90 år,Ugift,380
181,2022K3,90 år,Gift/separeret,2484
182,2022K3,91 år,Ugift,293
183,2022K3,91 år,Gift/separeret,1800
184,2022K3,92 år,Ugift,235
185,2022K3,92 år,Gift/separeret,1212
186,2022K3,93 år,Ugift,218
187,2022K3,93 år,Gift/separeret,864
188,2022K3,94 år,Ugift,174
189,2022K3,94 år,Gift/separeret,506
190,2022K3,95 år,Ugift,120
191,2022K3,95 år,Gift/separeret,346
192,2022K3,96 år,Ugift,82
193,2022K3,96 år,Gift/separeret,231
194,2022K3,97 år,Ugift,72
195,2022K3,97 år,Gift/separeret,129
196,2022K3,98 år,Ugift,42
197,2022K3,98 år,Gift/separeret,60
198,2022K3,99 år,Ugift,20
199,2022K3,99 år,Gift/separeret,39
200,2022K3,100 år,Ugift,19
201,2022K3,100 år,Gift/separeret,14
202,2022K3,101 år,Ugift,19
203,2022K3,101 år,Gift/separeret,9
204,2022K3,102 år,Ugift,6
205,2022K3,102 år,Gift/separeret,6
206,2022K3,103 år,Ugift,3
207,2022K3,103 år,Gift/separeret,2
208,2022K3,104 år,Ugift,2
209,2022K3,104 år,Gift/separeret,2
210,2022K3,105 år,Ugift,0
211,2022K3,105 år,Gift/separeret,0
212,2022K3,106 år,Ugift,1
213,2022K3,106 år,Gift/separeret,0
214,2022K3,107 år,Ugift,0
215,2022K3,107 år,Gift/separeret,0
216,2022K3,108 år,Ugift,0
217,2022K3,108 år,Gift/separeret,0
218,2022K3,109 år,Ugift,0
219,2022K3,109 år,Gift/separeret,0
